Date,Open,High,Low,Close,Adj Close,Volume,Day
2020-07-01,91.279999,91.839996,90.977501,91.027496,89.631218,110737200,1357
2020-07-02,91.962502,92.6175,90.910004,91.027496,89.631218,114041600,1358
2020-07-06,92.5,93.945,92.467499,93.462502,92.028862,118655600,1359
2020-07-07,93.852501,94.654999,93.057503,93.172501,91.743309,112424400,1360
2020-07-08,94.18,95.375,94.089996,95.342499,93.880028,117092000,1361
2020-07-09,96.262497,96.317497,94.672501,95.752502,94.283745,125642800,1362
2020-07-10,95.334999,95.980003,94.705002,95.919998,94.448669,90257200,1363
2020-07-13,97.264999,99.955002,95.2575,95.477501,94.012955,191649200,1364
2020-07-14,94.839996,97.254997,93.877502,97.057503,95.568726,170989200,1365
2020-07-15,98.989998,99.247498,96.489998,97.724998,96.225983,153198000,1366
2020-07-16,96.5625,97.404999,95.904999,96.522499,95.041924,110577600,1367
2020-07-17,96.987503,97.147499,95.839996,96.327499,94.849915,92186800,1368
2020-07-20,96.417503,98.5,96.0625,98.357498,96.84877,90318000,1369
2020-07-21,99.172501,99.25,96.7425,97,95.512108,103433200,1370
2020-07-22,96.692497,97.974998,96.602501,97.272499,95.780418,89001600,1371
2020-07-23,96.997498,97.077499,92.010002,92.845001,91.420845,197004400,1372
2020-07-24,90.987503,92.970001,89.144997,92.614998,91.194359,185438800,1373
2020-07-27,93.709999,94.904999,93.480003,94.809998,93.35569,121214000,1374
2020-07-28,94.3675,94.550003,93.247498,93.252502,91.82209,103625600,1375
2020-07-29,93.75,95.230003,93.712502,95.040001,93.582169,90329200,1376
2020-07-30,94.1875,96.297501,93.767502,96.190002,94.714523,158130000,1377
2020-07-31,102.885002,106.415001,100.824997,106.260002,104.630066,374336800,1378
2020-08-03,108.199997,111.637497,107.892502,108.9375,107.266495,308151200,1379
2020-08-04,109.1325,110.790001,108.387497,109.665001,107.982841,173071600,1380
2020-08-05,109.377502,110.392502,108.897499,110.0625,108.374222,121776800,1381
2020-08-06,110.404999,114.412498,109.797501,113.902496,112.155327,202428800,1382
2020-08-07,113.205002,113.675003,110.292503,111.112503,109.6054,198045600,1383
2020-08-10,112.599998,113.775002,110,112.727501,111.198486,212403600,1384
